id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
175,손칼국수,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
176,돼지막창,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
177,부대찌개무한리필(성인),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
178,큐브스테이크덮밥,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
179,1인보쌈 (S),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
180,특선활어회초밥(12pcs),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
181,1미터 무한리필,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,전통주,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
183,돈가스,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
184,알탕,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
185,볶음밥,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
186,김치찜,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
187,"추천
이가초밥",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
188,레몬에이드,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,새우튀김,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
190,돼지곰탕,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
191,타트플람베,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
192,대패삼겹살,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
193,"추천
광명종합셋트",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194,"추천
달돈세트",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
195,뼈한마리,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
196,하와이언 (R),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,과일요거트,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
198,내장탕,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
199,버섯샤브매운탕,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
200,콜드브루,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201,제육두부김치,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
202,연남물갈비(1인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
203,우삼겹살 쌈밥(180g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
204,생삼겹살,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
205,연어 무한리필 (1인),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
206,스테이크갈비 무한리필 (1인),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
207,과일,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
208,닭다리살강정(중),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
209,계란말이김밥,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
210,고기 왕만두(5개),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
211,가족세트4~5인용,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
212,조선의 육개장,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
