id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
2278,품미,3.8,594,"화,수,목,금,토,일",11:30,22:00,241,False,,
2279,모두의주막,5.0,570,null,null,null,null,False,,
2280,디디치킨(DD치킨),0,105,null,null,null,441,True,,
2281,고기싸롱 장승배기점,0,1999,null,null,null,null,True,,
2282,제이콜라보,1.8,1903,null,null,null,249,False,,
2283,스톤504,4.1,1973,"월,화,수,목,금,토,일",11:00,24:00,49,False,,
2284,아리랑컵밥,4.0,475,null,null,null,null,False,,
2285,양계장집아들 상도점,2.3,21,null,null,null,230,True,,
2286,호프왕노가리,0,1248,null,null,null,null,False,,
2287,마당커피,5.0,1491,"월,화,수,목,금,토,일",09:00,22:00,400,False,,
2288,맨드라미,0,1663,null,null,null,553,False,,
2289,대륙서점,5.0,697,"월,화,수,목,금,토",14:00,20:00,null,False,,
2290,다와분식,0,1199,null,null,null,null,False,,
2291,상도국수,4.2,98,"월,화,수,목,금",11:30,20:00,613,False,,
2292,국수나무장승배기점,3.8,2009,"월,화,수,목,금,토",11:30,21:00,null,False,,
2293,비에이치씨(BHC치킨) 상도점,2.7,1399,"월,화,수,목,금,토,일",12:00,24:00,351,True,,
2294,모두의 집밥,0,337,null,null,null,null,False,,
2295,족발천국,0,2124,null,null,null,null,False,,
2296,스시아나,4.2,716,"월,화,수,목,금,토,일",12:00,24:00,174,False,,
2297,춘자씨칼국수,1.0,512,"월,화,수,목,금,토,일",11:00,21:30,420,False,,
2298,콩심신대방점,3.3,537,"월,화,수,목,금,토,일",00:00,24:00,601,False,,
2299,취향,3.2,1534,"월,화,수,목,금,토,일",11:00,20:30,51,False,,
2300,석춘해물칼국수,4.3,1493,null,null,null,null,False,,
2301,청춘싸롱 신대방삼거리역점,0,1501,null,null,null,1062,True,,
2302,장승칡냉면&장족,5.0,272,"화,수,목,금,토,일",09:00,21:00,332,False,,
2303,카페 더테이블,5.0,1900,"월,화,수,목,금,토",10:00,21:00,249,False,,
2304,밥나누리,0,39,null,null,null,null,False,,
